고유번호,분류,증상명,설명
1,A증상,급성 위염,"급성위염은 갑자기 구토를 일으키며, 여러 차례 심하게 나타난다. 상한 읍식을 섭취했을 경우 나타나며 치료방법으로는 음식출 섭취를 제한하고, 탈수 증상이 있을 경우 수액을 공급합니다."
2,B증상,만성위염,"상한 읍식을 섭취했을 경우 나타나며 치료방법으로는 음식출 섭취를 제한하고, 탈수 증상이 있을 경우 수액을 공급합니다."
3,C증상,위궤양,"질병 치료를 위해 내복약을 장기간 복용하고 있거나, 만성위염 또는 신부전이 있는 경우에 위 점막을 손상시켜 궤양을 일으키고 출혈이 나타납니다. 치료방법으로는 출혈을 동반하기 때문에 빈혈 검사와 위산 분비를 억제하고 위점막의 회복을 촉진하는 약이나 위 점막을 보호하는 약 등을 투여한다."
4,D증상,이물질 섭취,고양이 장난감이나 굴러다니는 단추 같은 삼키기 쉬운 이물질을 섭취할 때 구토가 일어납니다. 치료방법으로는 이물질이 구토나 변으로 자연스럽게 배설되거나 배설되지 않을 경우 외과수술로 절제합니다.
5,E증상,우문협착,치료방법으로는 이물질이 구토나 변으로 자연스럽게 배설되거나 배설되지 않을 경우 외과수술로 절제합니다.
6,F증상,위종양,위종양은 위에 악성종양이 있는 질병으로 림프육종이 원인입니다. 치료방법으로는 외과수술 또는 화학요법 등을 진행합니다.
7,G증상,염증성 위염,"염증성 세포인 림프구, 호산구, 산성 색소에 잘 물드는 거칠고 큰 과립을 많이 가진 백혈구, 호중구 등이 소화관 점막에 침투하여 생기는 장염입니다. 치료방법으로는 내과적인 약물 투약 후 증상이 개선되면 수의사의 지도 아래 식이요법을 진행합니다."
8,H증상,범백혈구 감소증,"범백혈구 감소증은 고양이의 파보바이러스 입니다. 파보바이러스는 고양이의 대변과 소변으로 다량 배설되며, 바이러스가 들어 있는 변을 입으로 섭취했을 때 감염되는 것으로 알려져 있습니다.
치료방법으로는 수액으로 체액과 전해질을 보정하고 2차 감염을 예방합니다."
9,I증상,변비,"사료의 내용물, 고양이 화장실의 오염, 고양이 화장실의 부적절한 위치 이외에 신경장애 같은 병적인 원인 등이 있습니다. 치료방법으로는 관장을 하거나 사료를 변경 급여하여 치료합니다."
10,J증상,지방간증,"지질대사의 이상으로 간세포에 중성지방이 쌀입니다. 비만 고양이, 비만이었던 고양이, 그리고 영양부족으로 야윈 고양이도 걸릴 수도 있습니다. 치료방법으로는 간 기능을 회복시키는 약제를 투여합니다."
11,K증상,천식,"원인으로는 담배, 스프레이. 먼지, 식사 등으로 발생합니다. 치료방법으로는 내과 치료를 하며, 약으로 관리 가능합니다. 그리고 고양이가 있는 곳에서 담배를 피우지 않고, 공기정화를 자주 합니다."
12,A증상,골육종,"뒷다리와 두개에 잘 생기는 육종입니다. 특히 노령 고양이가 잘 걸린다는 보고가 있습니다. 만성적으로 절룩거리고, 갑자기 증세가 악화되기도 하며, 종양 부분이 골절되기도 합니다. 치료방법으로는 외과수술을 합니다."
13,B증상,비대성 골증,다리에 살이 쪄서 두툼해지고 붓습니다. 골막의 증식이 나타나 다리가 살이 찌고 두툼해집니다. 치료방법으로는 외과수술을 합니다.
14,C증상,폐암,"폐의 종양이 발가락으로 전이되어 발가락이 붓고, 발톱 주위에 염증이 생겨 통증 동반하는 병변입니다. "
15,A증상,세균성 설사,"살모넬라, 캠필로박터, 대장균 등이 설사를 유발하며 또는 고양이의 몸이 허약해졌을 때 장 속의 일반 세균이 세균성 설사를 일으킬 수 있습니다. 치료방법으로는 상태를 지속적으로 살피면서 원인균에 효과가 있는 항생제를 투여합니다."
16,B증상,바이러스성 설사,"바이러스성 설사에는 파보바이러스감염증과 코로나바이러스감염증이 있습니다. 파보바이러스는 골수도 손상시켜 골수 기능을 떨어뜨리고, 범백혈구 감소를 가져옵니다. 이 질병은 백신이 있으므로 예방이 가능합니다. 코로나 바이러스는 고양이의 혈액검사로 항체값을 측정할 수 있습니다. 이 질병 또한 백신으로 예방 가능합니다."
17,C증상,고양이 백혈병 바이러스,"레트로바이러스가 원인이며 이 바이러스는 림프계나 골수로 감염되어 퍼지는데, 장도 감염이 됩니다. 장의 상피점막이 손상되어 장염이 되고, 그 결과 설사를 하게 됩니다. 백혈병 바이러스는 소화관림프종 같은 악성종양을 만듭니다."
18,D증상,식이성 설사,"고양이는 특이한 기호를 갖고 있어 우유의 유당을 분해하는 효소가 없기 때문에 우유를 먹으면 설사를 하고, 향신료가 들어간 음식물을 먹고 설사를 하기도 합니다. 또한 씹기 좋은 플라스틱, 끈, 휴지 등을 씹어 삼킬 경우 설사를 합니다. 치료방법으로는 고양이 사료를 포함한 식품 알레르기가 있는  지 수의사의 지도 아래 해당 알레르기에 따라 처방식을 바꿔 치료합니다."
19,E증상,약물성 설사,"고양이는 항생제를 투여했을 때 설사를 하기도 합니다. 항생제는 세균 감염을 치료할 때 사용하는 약품이지만, 정상적인 장내 세균에 작용하여 설사를 일으킵니다. 이럴 경우 약물 투약을 중단합니다."
20,F증상,결장염(대장염),"결장염(대장염)에는 2가지 갑상선기능항진증이 원인인 설사와 장의 림프육종이 원인인 설사가 있습니다. 10세 이상의 고양이에게 갑상선기능항진증이 원인인 설사는 만성이 되기도 합니다. 잘 먹지만 살이 찌지 안흥며 많이 움직이고 많은 양의 설사를 하게 됩니다. 장의 림프육종이 원인인 설사는 소화관에 생기는 악성종양의 하나로, 고양이 백혈병 바이러스가 림프육종이 생기는 원인입니다."
21,G증상,기생충 감염,"위생 상태가 좋지 않은 곳에서 발생하기 쉬우며,  다른 바이러스성 질환이나 진드기에도 감염되어 있을 수 있습니다. 기생충이 다른 장기로 이동하여 이상 증상을 유발할 수 있습니다.  약물 치료를 통해 치료받을 수 있으며, 비교적 치료가 수월한 경우가 많습니다.  재감염되지 않도록 위생관리를 철저히 해주셔야 하며, 심하게 감염된 경우에는 치료를 통해 기생충이 갑자기 죽으면서 장폐색을 유발하는 경우도 있으니 주의하셔야 합니다."
22,A증상,비만,"비만은 고양이의 영양상태가 비정상적인 상태입니다. 섭취 칼로리와 소비 칼로리의 균형이 깨지면 비만이 됩니다. 섭취 칼로리가 많다는 것은 필요 이상으로 과식을 하고, 평소에 고칼로리 사료를 먹습니다. 또 칼로리 소비가 적다는 것은 운동이 부족한 결과이며, 이상태에서는 체지방이 증가합니다. 예방방법으로는 고양이의 적정체중과 이상체중을 알아두며, 1일 사료량의 무게를 재며 급여 합니다."
23,B증상,고양이 전염성 복막염,"1세 미만의 고양이에게 나타나는 복수는 고양이전염성복막염(FIP)이 원인일 가능성이 높습니다. 복수가 차기 시작할 무렵에는 배가 부풀어 오르는 게 별로 눈에 안띄지만, 눈에 띄게 배가 부풀 무렵에는 고양이가 식욕부진, 발열, 운동불내성 등의 상태가 됩니다. 또한 등 근육도 줄어들게 되는데 이것은 질병의 말기 상태일 때 나타납니다."
24,A증상,유선염,"암고양이의 유선염은 일반적으로 임신 중과 수유 중에 생깁니다. 또한 성 성숙기에도 나타나는 경우가 있습니다. 유두로 포도상구균, 연쇄상구균, 대장균이 침입하여 세균에 감염된 유선이 비정상적으로 비대해지고 빨개지고 열이 납니다. 치료방법으로는 세균감염부터 치료하고 항생제를 투여합니다."
25,B증상,지방종,"양성지방종양은 모든 연령에서 나타납니다. 대부분의 종양은 고립성이지만, 다발성도 보입니다. 체간의 흉부나 복부, 사지에 생깁니다. 치료방법으로는 외과수술로 절제합니다."
26,C증상,유선종양,"유선종양은 대부분 암고양이에게 나타납니다. 중성화 수술을 하지 않은 암고양이가 중성화 수술을 한 고양이에 비해 유선종양 발생률이 7~8배 높다는 자료가 있습니다. 고려 고양이는 유선종양의 발생률이 높아지며, 75~80%가 악성입니다. 치료방법으로는 종양 부위를 외과수술로 제거합니다."
27,A증상,중이염,"중이염은 세균 감염으로 방생하며,머리를 흔들면서 귓구멍에 달도록 발끝을 넣어 긁고, 고개가 한쪽으로 기울어지는 사경이 나타납니다.  치료방법으로는 항생제를 투여합니다."
28,B증상,고막이상,"정상 고막은 투명한 푸른 막처럼 보입니다. 그러나 질병이 있는 고막은 투명하지도 팽팽하지도 않으며, 물결모양으로 보이기도 합니다. 고막이 찢어지면 액체가 나오는 경우가 있는데 이 떄 고양이는 자주 고개를 흔듭니다. 고막이 만성적으로 자극을 받으면 차츰 변성됩니다. 치료방법으로는 항생제를 투여합니다."
29,A증상,편평상피암,"햇빛 때문에 피부암이 생깁니다. 특히 햇빛에 많이 노출되는 얼굴은 암이 많이 발생하는 부위입니다.  편평상피암은 긁어서 생긴 상처처럼 보입니다. 털이 하얀 고양이, 색이 옅은 고양이에게 발생할 확률이 높습니다. 주로 노령 고양이에게 생기지만, 중년 고양이에게도 발병합니다. 치료로는 종양크기와 종양의 진행 상태에 맞춰 치료하며, 경우에 따라서 외과수술도 합니다."
30,B증상,피부림프종,"가려움이 있는 플라크 모양의 병변이 특징입니다. 머리, 얼굴, 다리 등에 병변이 생기며, 가려워서 긁기 때문에 궤양이 됩니다. 노령고양이에게 발생할 확률이 높지만, 젊은 고양이에게도 발병헸다는 보고가 있습니다. 고양이에이즈바이러스, 고양이백혈병바이러스와도 관계가 있다고 합니다."
31,C증상,면역부전,에이즈에 감염되거나 당뇨병인 고양이들은 면연력이 떨어집니다. 이런 고양이들은 건강한 고양이라면 금방 나을 상처도 잘 낫지 않습니다.
32,A증상,접촉성 피부염,가정에 있는 샴푸와 비슷한 종류가 몸에 묻으면 고양이가 그 부분을 심하게 긁게 됩니다. 치료방법으로는 환부를 포함하여 몸 전체를 깨끗이 잘 씻기고 항염증 작용을 하는 약을 투약합니다.
33,B증상,귀 진드기,고양이의 귓속에 새까만 귀 때가 생겼을 때 병원에 내원하여 현미경으로 보면 귀진드기를 확인할 수 있습니다. 이 병에 걸리면 고양이가 계속 귀를 심하게 긁게 됩니다. 치료방법으로는 벼룩 구충제 중에는 귀진드기에 효과적인 것도 있으니 그것을 사용하면 낫습니다.
34,C증상,아토피,아토피는 가려움과 함께 발진이 반복해서 생기는 피부병입니다. 치료방법으로는 항염증 작용을 하는 약을 투여합니다.
35,D증상,피부 사상균증,"피부 표면의 각질층, 손톱, 털에 병변이 생깁니다. 사상균은 사람에게도 병원성을 가져가려움을 동반한 피부염을 일으킵니다. 피부의 비듬과 털을 검사하고 진균을 배양하여 정확히 진단한 후 털을 짧게 자르고 약용샴푸로 씻긴 후 향진균제를 투여합니다."
36,E증상,여드름,"턱에 생기는 피부염으로, 턱에 검은 때처럼 생긴 작은 뾰루지가 생깁니다. 교양이가 스스로 신경이 쓰여 긁는 경우도 있지만 신경 쓰지 않는 경우도 있습니다. 치료방법으로는 턱에 생긴 여드름이 세균에 감염되면 턱이 빨갛게 붓고 열도 나며 볼록해지니 항생제를 투여하는 것이 일반적인 치료입니다. 또한 여드름은 재발하니 주의하시길 바랍니다."
37,F증상,편평상피암,"햇빛 때문에 피부암이 생깁니다. 특히 햇빛에 많이 노출되는 얼굴은 암이 많이 발생하는 부위입니다.  편평상피암은 긁어서 생긴 상처처럼 보입니다. 털이 하얀 고양이, 색이 옅은 고양이에게 발생할 확률이 높습니다. 주로 노령 고양이에게 생기지만, 중년 고양이에게도 발병합니다. 치료로는 종양크기와 종양의 진행 상태에 맞춰 치료하며, 경우에 따라서 외과수술도 합니다."
38,G증상,폭스바이러스 감염증,"폭스바이러스에 감염되어 생기는 피부 병변으로, 안면이나 사지에 볼록한 모양의 궤양성 병변이 나타나면 가렵습니다. 치료방법으로는 상처를 소독하고 항생제를 투약합니다."
39,A증상,결막염,"원인은 바이러스성, 세균성, 클라미디아, 고양이들이 서로 싸워서 생긴 외상등로 추측됩니다. 눈곱이 색은 세균에 감염되었는지 아닌지를 판단하는 근거가 됩니다. 노란눈곱은 죽은 백혈구의 사체로 결막이 세균에 감염되었다는 증거입니다."
40,B증상,알레르기성 결막염,결막에는 이물질에 반응하는 면역조직인 림프조직이 있습니다. 따라서 집 안의 먼지 같은 이물질이 달라붙으면 염증이 생깁니다. 이때 가려움증과 눈곱이 생기고 눈물도 흐릅니다.
41,C증상,신생기 안염,2개월 미만의 아주 어린 길고양이들에게서 종종 나타납니다. 상부 호흡기 원인체의 감염 혹은 세균 감염 등 다양한 원인으로 인해 화농성 분비물이 눈 안에 가득 찹니다. 조기에 확인되는 경우 항생제 투여 등을 통해 치료받으면 정상적으로 호전되는 경우가 많습니다. 치료가 늦어지는 경우 안구의 영구적 손상을 입을 수 있기 때문에 빠른 치료가 중요합니다. 환경 온도나 적절한 영양 관리 등 기본적인 사양 관리가 중요합니다.
42,A증상,각막궤양,"각막이 손상된 것을 말합니다. 고양이는 빠른 속도로 움직이고, 점프도 많이 하기 때문에 각막에 쉽게 외상성 손상을 입을 수 있습니다. 안과 검진을 통해 손상 여부와 깊이, 범위를 확인할 수 있습니다. 넥칼라를 씌워야 하며 약물치료가 필요합니다. 심할 경우 천공이 발생할 수 있습니다."
43,A증상,녹내장,"눈 안에 안압이 상승하는 질환을 말합니다. 눈 안을 채우고 있는 안방수라는 액체의 순환에 문제가 발생하여 눈 안의 압력이 상승하면서 발생합니다. 안압을 측정하여 진단할 수 있고, 안구 내를 관찰하여 녹내장의 성상을 확인합니다. 초기에는 바로 안압을 떨어뜨리는 치료를 받아야 시신경 손상을 막을 수 있습니다."
44,A증상,기흉,흉강 안에 공기가 저류합니다. 교통사고나 낙하사고로 흉부에 생긴 외상이 원인입니다. 저단백혈증인 고양이는 가슴에 물이 차기도 합니다.
45,B증상,천식,"천식은 먼지나 알 수 없는 특정 물질에 대한 알레르기로 일어납니다. 기관지가 수축되어 기도가 폐쇄됩니다. 이런 상황에서는 폐에서 공기를 배출하기 힘들어지며, 천식 발작이 일어나면 기도 안에서 점액 분비가 항진되어 점액이 기도를 막는데, 이 상태가 지속되면 호흡이 불가능하여 질식사합니다. 치료방법은 약으로 조절할 수 있으며, 완치를 기대하기는 어렵습니다."
46,C증상,고양이 면역 부전 바이러스 감염증,"에이즈에 걸린 고양이의 빈혈은 중증이며, 특히 골수성빈혈은 골수 기능의 장애로 피가 만들어지지 않습니다. 전신증상이 악화된 빈혈은 치료 방법이 없습니다."
47,D증상,비대성 심근병증,"심장의 근육이 두꺼워지는 질환으로, 심장 근육이 두꺼워지면서 심장 내강이 좁아져 혈액 유입이나 심장 박출에 장애를 줍니다.  본 질환의 원인은 아직 명확하게 규명되어 있지는 않지만  메인쿤, 랙돌, 페르시안, 아메리카 숏헤어 등의 품종에 대해 유적적인 요인은 확인되어 있습니다. 약물치료 등을 통해 치료할 수 있으나 무증상을 보이다가 급격히 악화되는 경우가 많으니 건강검진을 통해 미연에 방지하는 것이 최선입니다."
48,E증상,심장사상충,강아지보다 감염 자체도 낮고 감염된 성충도 아주 적은 수만이 성충으로 성장하지만 폐동맥에서 심장사상충에 의해 생기는 면역반응이 심각하게 나타납니다. 이 증상은 매우 심각해서 감염된 성충 1~2마리만으로도 심한 호흡기 증상으로 죽을 수 있어  정기적인 심장사상충 예방이 필요합니다.
49,A증상,자궁축농증,"자궁이 대장균, 연쇄상구균, 포도상구균 같은 세균에 감염되면 자궁축농증이 됩니다. 자궁내막염이 지속되어 축농증으로 발전할 수 있습니다. 치료방법으로는 난소와 자궁에 질환이 있는 경우에는 수술로 난소와 자궁을 적출해야 합니다."
50,A증상,바이러스 상부기도 감염,"코 점막, 결막 등에 바이러스가 증식하여 코가 막히고 식욕부진이 생깁니다. 어린 고양이가 노란 콧물로 코가 막혀 입을 벌려 호흡하는 모습을 볼 수 있습니다. 헤르페스바이러스는 감염력이 강해서 한마리만 감염되어도 같은 공간에 있는 거의 모든 고양이가 감염됩니다. 치료방법으로는 백신접종으로 예방하며, 항생제를 투여합니다."
51,B증상,칼리시바이러스 감염증,"코와 구강 점막 등에 바이러스가 증식하여 코가 막히고, 구내염 때문에 식욕부진을 일으킵니다. 폐렴이 되지 않도록 주의해야 하며, 치료방법으로는 백신접종으로 예방하며, 항생제를 투여합니다."
52,C증상,충치,"고양이 충치는 구강 내 감염과 관계가 많습니다. 세균 덩어리인 치석이 생기면 치육염이 생겨 치육이 내려앉고 부드러운 상아질이 벗겨집니다. 이렇게 충치가 시작되어 치수 신경을 건드리면 통증을 느끼며, 음식을 잘 씹지 못해 식욕부진이 나타납니다. 치료방법으로는 치석을 제거하고 충치를 뽑습니다."
53,D증상,급성골수성 백혈병,"급성비림프구성백혈병이라고도 합니다. 이 질병은 갑자기 나타나 급격하게 식욕부진과 기면상태에 빠져들게 하며, 쇠약해지고 체중이 감소하여 빈혈도 생기게 됩니다."
54,E증상,구강편평 상피암,"구강 점막에 암이 생겨 괴사나 궤양이 되기 때문에 침을 흘리고 음식물을 삼키기 어려워집니다. 구강 편평상피암은 침습성이 강하고 전이성이 높은 암이며, 치료방법으로는 암치료를 위한 화학요법으로 합니다."
55,F증상,신부전 말기,"신부전 말기에는 요독증이 심해져서 중추신경성 구역질을 합니다. 신부전이 되면 조혈호르몬인 에리트로포이에틴을 생산하지 못하기 때문에 빈혈도 생기며, 식욕부진으로 시작해 구토가 나타나고, 사망에 이를 수도 있습니다. 치료방법으로는 식욕이 충분할 때 치료를 시작합니다. 신장성 빈혈이면 에르트로포이에틴을 투여합니다."
56,G증상,결석,"몸 안에 생기는 돌을 말합니다. 즉, 신장, 요관, 방광, 요도, 어느 곳에든 결석이 발생할 수 있습니다. 극심한 통증이 수반되는 경우가 많습니다.  원인은 대부분 불명이나 고칼슘 혈증, 호르몬 질환과 관련되어 있습니다.  방치할 경우 생명이 위험해질 수 있습니다. 대개는 수술적 방법으로 제거하며,  재발률이 높기 때문에 지속적인 관리가 필요합니다."
57,H증상,구내염,"혀나 잇몸에 궤양이 발생하는 질병으로 혀의 테두리를 따라 허는 듯한 모습으로 관찰되기도 합니다. 잇몸과 입술 등에도 나타납니다. 바이러스 질환이나 구강 세균, 면역 작용에 의한 것까지 원인은 다양합니다. 감염된 원인체를 확인하여 치료해야 합니다. 치과 치료를 병행하기도 하며  심한 경우 스케일링 및 발치에 이르는 치료가 필요할 수 있습니다."
58,I증상,호산구성 반,"알레르기와 비슷한 면역 질환의 하나입니다. 호산구성 육아 종성 복합체라고도 하고, 무통성 궤양이라는 표현을 쓰기도 합니다.  주로 사료나 식기 등에 대한 알레르기 반응이나 자가 면역반응으로 발생하게 됩니다. 다행히 딱히 통증을 호소하지는 않으나 이차 감염의 우려가 있고 밥을 먹기 불편할 수 있습니다. 약물 치료를 통해 치료할 수 있습니다."
59,J증상,치은염,"만성적인 염증 혹은 잘못된 면역 작용으로 인해 백혈구 세포들이 잇몸에 침착하여 증식되는 질환입니다. 바이러스나 구강 세균 등 위생적이지 못한 구강상태가 원인이 되어 증상의 진행을 자극합니다. 일부 조직을 채취해서 조직 검사를 하면 확정진단을 할 수 있습니다. 기저 질환 치료 외에 면역 억제제의 사용이 필요합니다. 심한 경우 스케일링을 하면서 치료제를 도포하고 증식된 조직의 일부를 제거해야 하고, 뿌리까지 다 제거하는 발치가 필요합니다."
60,A증상,만성신부전,만성신부전은 신장 기능이 떨어져 혈액 속의 요질소가 소변으로 잘 배설되지 않는 상태입니다. 따라서 신장은 소변의 양을 늘려 요질소를 배설하려고 합니다. 정상적인 경우에는 작은 양의 소변에도 요질소가 많이 함유되어 있습니다. 그러나 만성신부전인 고영이는 소변의 양은 많아도 요질소가 적은 량 함유되어 있기 때문에 결과적으로 다뇨증상이 생기게 됩니다.
61,A증상,쿠싱증후군,쿠싱증후군은 부신피질기능 항진증이라고도 합니다. 부신피질의 가능성 종양과 부신피질의 과형성으로 글루코코르티코이드(스테로이드 호르몬)이 과잉 생성되어 일어납니다. 5~6세부터 10세 이상의 고양이에게 증세가 나타납니다. 그리고 당뇨병도 함께 발병하므로 당뇨병 증상인 다음다뇨도 나타납니다 치료방법으로는 외과 수술이 효과적입니다.
62,B증상,거대결장,"거대결장은 결장의 기능장애로 생기는 변비입니다. 장은 대변 크기에맞춰 어느 정도는 확장되지만, 결장의 지름이 제7요추의 2배 이상 확장되면 이상 증상으로 봅니다. 며칠간 배설하지 못한 분량의 대변이 덩어리가 되어 결장이 확장되지만 고양이는 변의를 거의 느끼지 못하고 계속해서 먹습니다. 치료방법으로는 내과적으로는 대변 상태를 고려한 사료를 주고 내복약을 사용합니다. 외과 수술로는 결장을 절제합니다."
63,A증상,탈수,"탈수로 인한 체중감소는 빠르게 진행됩니다. 체중감소가 적정 체중의 3%를 넘으면 심각한 탈수증상이므로 주의해야 합니다. 고양이에게 탈수가 생기면 구강점막이 마르고, 피부는 뻣뻣해지며, 탄력을 잃습니다. 또한 털이 퍼석거리고, 눈이 움푹 들어가며, 얼굴은 부은 것 처럼 보입니다. 치료방법으로는 부족한 수분을 보충하기 위해 수액을 놓아 수분을 보급합니다."
64,B증상,신부전,"신부전의 특징은 식욕부진으로 체중이 감소하는 것 입니다. 또 다음, 다뇨하게 됩니다. 신부전은 신장의 약 75%의 네프론이 제 기능을 못하는 상태입니다. 신부전에는 급서와 만성이 있으며, 급성신부전을 일으키는데 원인은 신장에 독성을 일으키는 물질과 접촉, 요도 폐쇄로 인한 요독증, 등이 있으며, 만성신부전의 원인은 노령입니다. 치료방법으로는 약물치료입니다."
65,C증상,갑산성기능항진증,"내분비질환인 갑상선기능항진증은 티록신이 과잉 분비되는 상태입니다. 갑상선은 좌엽과 우엽으로 이루어져 있으며, 기관륜에 접해 있어 정상일 때는 만져지지 않습니다. 그러나 갑상선기능항진증에 걸리면 갑상선이 비대해져서 만져집니다. 치료방법으로는 갑상선호르몬의 합성을 억제하는 약제를 투여합니다."
66,D증상,당뇨병,"당뇨병은 췌장 세포의 파괴가 진행되어 혈당을 감지해서 인슐린을 분비할 수 없게 되는 상태입니다. 당뇨병에서는 요당이 나타나는데, 혈액 속 포도당 농도가 신뇨세관의 재흡수 능력을 초과할 때 발생합니다. 삼투압이뇨 때문에 소변량이 증가하며, 배뇨가 늘어서 혈액양이 줄고 농도가 진해지므로 물이 필요해져서 목이 말라 다갈증상이 나타납니다."
67,E증상,구강 내 질환,"평소처럼 놀지 않고 기분도 나빠보이며, 입이 아파서 셀프그루밍을 못하기 때문에 빠진 털이 뒤엉켜 부스스해집니다. 그루밍을 하는 경우에는 구취 비슷한 냄새가 털에 배어 몸 전체에서 냄새가 납니다. 치료방법으로는 구강내 질환에 알맞게 발치 또는 치석제거를 합니다."
68,A증상,코암,"재채기, 코막힘 증상이 있습니다. 한쪽 코에서만 콧물이 나오는 경우는 많지만, 쾨가 나오는 경우는 많지 않습니다. 고양이가 그루밍을 하거나 사료를 먹을 때 코에서 소리가 나거나 호흡할 때 힘이 들어가기도 하며, 안면이 변형됩니다. 치료방법으로는 항암치료를 하지만 치료의 예후는 좋지 않습니다."
69,B증상,헤르페스바이러스 감염증,바이러스 보균 고양이로 겉으로 보기에는 건강하지만 발병해서 재채기와 콧물 증상이 있는 고양이가 감염원입니다.고양이들은 서로 햝으면서 그루밍을 하기 때문에 헤르페스바이러스 감염증이 유발됩니다. 또는 사료나 물을 함께 먹는 경우에도 전파됩니다. 치료방법으로는 2차감염을 예방하기 위해 항생제를 투여합니다. 백신 접종으로 예방도 가능합니다.
70,C증상,호모균증,"호모균증은 효모균인 크립토고쿠스 네오포르만스에 감염된 것으로 모든 연령의 고양이가 걸립니다. 장기간에 걸쳐 병이 진행되며, 국소적으로 비강 질환이 있는 고양이는 코 이외에는 건강해 보입니다.시간이 지나면 비강에 생긴 병변이 그 주위를 손상시키고, 코의 측면과 안와에도 영향을 주어 얼굴 자체가 변형됩니다. 치료방법으로는 향진균제의 투여도 선택할 수 있는 치료 방법중 하나입니다. 치료 후에도 재발 가능성이 있습니다."
71,A증상,방광염,방광염으로 소변이 잘 나오지 않을 경우 구토를 할 수 있습니다. 실내 온도 차이가 원인입니다.
72,B증상,요도염,요도에 염증이 있으면 소변을 보기 어렵습니다. 특히 소변을 볼 때 통증이 있으면 고양이는 소변을 조금씩 누기 때문에 소변을 자주 보는 빈료가 됩니다. 화장실 이외의 장소에서 소변을 보는 모습도 눈에 띄게 됩니다. 치료방법으로는 세균배양 검사에서 병원성 세균이 발견되면 해당 세균에 효과적인 항생제를 투여합니다.
73,C증상,골반 골절,골반이 물리적으로 좁아지기 때문에 대변이 나올 것 같아 화장실에서 자세를 잡아도 변이 잘 나오지 않습니다. 고양이가 한동안 배변 자세를 취하다가 포기하기도 합니다. 치료방법으로는 정형외과에 가서 골반을 치료합니다. 다른 한편으로는 대변 상태를 부드럽게 만드는 내과 치료도 함께 합니다.
74,A증상,광견병,"광견병 바이러스는 모든 항온동물에게 감염되며, 증상으로는 전구기, 흥분, 흉폭기, 마비기 등 3기에 걸쳐 나타납니다. 전구기는 보통 1~3일 체온상승하며 동공확대, 정서불안이 나타나며 흥분, 흉폭기에는 근육경련, 근육탈력, 침분비 증가, 운동실조, 떨림, 인두마비로 인한 연하곤란 등이 나타납니다. 마비기에는 몸 전체가 마비되어 사망합니다. 광견병 증상이 나타나면 며칠 이내에 사망하기 때문에 예방접종으로 미리 예방해야 합니다."
75,B증상,수막종,"수막종은 뇌막종이라고도 합니다. 뇌의 측두, 전두, 후두의 수막에서 발생하며, 특히 대뇌 수질에 가장 많이 생기는 뇌종양입니다. 뇌종양이 중추신경을 압박하여 다양한 증상이 나타납니다. 선회 등의 행동 변화가 생기고, 시각장애가 일어납니다. 종양이 뇌조직을 압박하여 간질 발작의 계기가 되는 것으로 추측됩니다. 치료방법으로는 수술이 가능하다면 외과수술을 시도합니다."
76,A증상,빈혈,"고양이는 빈혈이 있으면 움직이지 못합니다. 빈혈이 만성적일 경우 식욕이 있어도 별로 움직이지 않고 잠만 자며, 악화될 경우 먹는 것조차 힘들어집니다. 치료방법으로는 혈액검사 후 수치를 확인한 후 그에 맞는 치료를 합니다."
77,B증상,저캴륨혈증,"노량고양이에게 저칼륨혈증이 일어났을 때 나이 탓으로만 생각하면 치료 시기를 놓쳐버립니다. 신장기능 장애, 만성신부전인 경우네는 소변량이 증가하고, 소변으로 칼륨이 과잉배출 되어 저칼륨혈증이 됩니다. 또한 식사에서 칼륨 섭취가 부족해도 이 병의 원인이 됩니다."
78,C증상,골절,차나 오토바이와의 충돌 사고가 발생하면 목숨은 건져도 부상을 입습니다. 높은 건물에서의 추락사고도 골절의 원인입니다. 고양이는 골절이 되면 안전한 곳에 몸을 숨긴 채 움직이지 않고 회복될 때를 기다립니다. 움직이면 사고를 당한 부위가 더 손상될 수 있으므로 움직이지 않고 가만히 있는 것이 몸에 좋다는 것을 아는 것 입니다. 치료방법으로는 사고 후 전신 증상이 안전된 것을 확인하면 수술을 합니다.
79,D증상,심장질환,심장은 몸속에 혈액을 보내는 펌프 역할을 하여 몸 구석구석으로 충분한 양의 혈액을 쉼 없이 보냅니다. 따라서 심장에 질황니 생기면 몸에 혈액을 충분히 보내지 못하여 고양이의 운동량이 떨어지게 됩니다.
80,A증상,요도폐쇄,"수고양이는 요도가 막혀 소변이 나오지 앟는 상태가 되기도 하는데, 이것은 생명이 위험할 수도 있는 긴급사태입니다. 상태를 지켜보고 있을 시간이 없으며 곧바로 병원에 데려가서 폐쇄된 요도를 뚫어주어야 합니다. 치료방법으로는 폐쇄된 요도를 뚫어주는 수술을 합니다."
81,B증상,비타민e 결핍증(지방조직염),주로 생선을 먹어 비타민E를 섭취하지 못하는 고양이에게는 비타민E결핍증이 생깁니다. 주로 먹는 참치가 가장 큰 원인으로 생각됩니다. 지방조직염은 지방조직에 염증이 생기는 상태입니다. 지각과민증상이 나타나 온몸에 통증이 느껴지는지 만지거나 아는 것을 매우 싫어합니다. 치료방법으로는 지방조직을 조직검사하여 진단합니다. 그리고 비타민E를 투여하고 영양이 골고루 함유된 양질의 사료를 줍니다.
